=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[22:43:17.892] [R2] started
[22:43:18.493] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.495] [W6] wrote: "Pthread library provides powerful threading primitives."
[22:43:18.497] [R1] read: "Pthread library provides powerful threading primitives."
[22:43:18.497] [W7] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.502] [W3] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.504] [W8] wrote: "Pthread library provides powerful threading primitives."
[22:43:18.515] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:18.515] [R2] read: "Pthread library provides powerful threading primitives."
[22:43:18.519] [R4] read: "Pthread library provides powerful threading primitives."
[22:43:18.522] [R1] read: "Pthread library provides powerful threading primitives."
[22:43:18.522] [W2] wrote: "AB"
[22:43:18.524] [W1] wrote: "Pthread library provides powerful threading primitives."
[22:43:18.530] [W5] wrote: "AB"
[22:43:18.539] [W4] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.551] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.551] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.557] [W1] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.564] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.565] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.566] [W2] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:18.568] [W5] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:18.571] [W7] wrote: "AB"
[22:43:18.574] [R1] read: "AB"
[22:43:18.576] [W6] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.579] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.583] [W3] wrote: "AB"
[22:43:18.585] [W4] wrote: "AB"
[22:43:18.591] [R4] read: "AB"
[22:43:18.598] [R3] read: "AB"
[22:43:18.603] [R1] read: "AB"
[22:43:18.603] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.610] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.615] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.615] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:18.636] [W7] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:18.637] [W8] wrote: "AB"
[22:43:18.638] [R2] read: "AB"
[22:43:18.640] [R4] read: "AB"
[22:43:18.644] [W1] wrote: "AB"
[22:43:18.650] [R3] read: "AB"
[22:43:18.657] [W3] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:18.658] [W5] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.661] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.662] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.664] [W2] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.673] [W4] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:18.674] [W6] wrote: "AB"
[22:43:18.681] [R3] read: "AB"
[22:43:18.682] [R2] read: "AB"
[22:43:18.691] [R5] read: "AB"
[22:43:18.698] [R4] read: "AB"
[22:43:18.703] [R3] read: "AB"
[22:43:18.707] [W2] wrote: "Test"
[22:43:18.716] [W8] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:18.719] [W7] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.719] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.724] [W5] wrote: "Test"
[22:43:18.726] [R5] read: "Test"
[22:43:18.729] [R2] read: "Test"
[22:43:18.732] [W3] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.734] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.737] [W1] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:18.740] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:18.751] [W6] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:18.758] [W2] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:18.759] [W8] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.762] [W3] wrote: "Test"
[22:43:18.768] [R5] read: "Test"
[22:43:18.768] [R1] read: "Test"
[22:43:18.770] [W4] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.774] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.776] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.784] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.807] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.808] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.811] [W3] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:18.812] [W5] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:18.812] [W2] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.815] [W1] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.818] [W7] wrote: "Test"
[22:43:18.823] [W6] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.825] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.825] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.826] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.829] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:18.841] [W4] wrote: "Test"
[22:43:18.851] [R4] read: "Test"
[22:43:18.852] [W8] wrote: "Test"
[22:43:18.852] [W3] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.853] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.855] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.855] [W1] wrote: "Test"
[22:43:18.873] [R1] read: "Test"
[22:43:18.884] [R5] read: "Test"
[22:43:18.885] [R2] read: "Test"
[22:43:18.885] [W6] wrote: "Test"
[22:43:18.888] [W2] wrote: "!"
[22:43:18.890] [W7] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:18.901] [R3] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:18.904] [W5] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.905] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.906] [W3] wrote: "!"
[22:43:18.909] [W8] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:18.911] [W4] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:18.912] [W1] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:18.913] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:18.931] [R2] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:18.932] [R5] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:18.936] [W5] wrote: "!"
[22:43:18.938] [W3] wrote: "Context switching between threads has performance overhead costs."
[22:43:18.953] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:18.956] [R3] read: "Context switching between threads has performance overhead costs."
[22:43:18.957] [W4] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.961] [R5] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.968] [W6] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:18.968] [W7] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.973] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.973] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.978] [W2] wrote: "Context switching between threads has performance overhead costs."
[22:43:18.979] [W1] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.986] [R5] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.993] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.994] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.996] [W3] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:18.998] [W8] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:18.999] [W5] wrote: "Context switching between threads has performance overhead costs."
[22:43:19.011] [W4] wrote: "!"
[22:43:19.016] [R3] read: "!"
[22:43:19.029] [R4] read: "!"
[22:43:19.029] [R1] read: "!"
[22:43:19.032] [W7] wrote: "!"
[22:43:19.033] [R2] read: "!"
[22:43:19.033] [R5] read: "!"
[22:43:19.034] [W8] wrote: "!"
[22:43:19.045] [W6] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:19.057] [R5] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:19.065] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:19.066] [W1] wrote: "!"
[22:43:19.068] [R2] read: "!"
[22:43:19.069] [W2] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.069] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.071] [W5] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.077] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.080] [W6] wrote: "!"
[22:43:19.081] [W8] wrote: "Context switching between threads has performance overhead costs."
[22:43:19.089] [W4] wrote: "Context switching between threads has performance overhead costs."
[22:43:19.090] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:19.091] [W7] wrote: "Context switching between threads has performance overhead costs."
[22:43:19.092] [W3] wrote: "A"
[22:43:19.096] [R3] read: "A"
[22:43:19.099] [R4] read: "A"
[22:43:19.109] [R5] read: "A"
[22:43:19.115] [R1] read: "A"
[22:43:19.115] [W6] wrote: "Context switching between threads has performance overhead costs."
[22:43:19.117] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:19.119] [W1] wrote: "Context switching between threads has performance overhead costs."
[22:43:19.128] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:19.129] [R3] read: "Context switching between threads has performance overhead costs."
[22:43:19.141] [W8] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.142] [R2] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.153] [W7] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.164] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.166] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.167] [W2] wrote: "A"
[22:43:19.170] [W5] wrote: "A"
[22:43:19.176] [W3] wrote: "Hello World!"
[22:43:19.177] [R4] read: "Hello World!"
[22:43:19.179] [R2] read: "Hello World!"
[22:43:19.179] [R3] read: "Hello World!"
[22:43:19.185] [W1] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.186] [W7] wrote: "A"
[22:43:19.187] [R1] read: "A"
[22:43:19.188] [W4] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.201] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.208] [W6] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.210] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.220] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:19.220] [W1] wrote: "A"
[22:43:19.225] [R2] read: "A"
[22:43:19.235] [W8] wrote: "A"
[22:43:19.236] [R3] read: "A"
[22:43:19.243] [R5] read: "A"
[22:43:19.249] [W7] wrote: "Hello World!"
[22:43:19.252] [W4] wrote: "A"
[22:43:19.253] [R1] read: "A"
[22:43:19.254] [W2] wrote: "Hello World!"
[22:43:19.255] [R4] read: "Hello World!"
[22:43:19.260] [R2] read: "Hello World!"
[22:43:19.270] [R3] read: "Hello World!"
[22:43:19.270] [W5] wrote: "Hello World!"
[22:43:19.275] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:19.276] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:19.277] [W6] wrote: "A"
[22:43:19.280] [R2] read: "A"
[22:43:19.284] [R1] read: "A"
[22:43:19.287] [R5] read: "A"
[22:43:19.288] [W1] wrote: "Hello World!"
[22:43:19.293] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:19.295] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:19.301] [W4] wrote: "Hello World!"
[22:43:19.308] [R4] read: "Hello World!"
[22:43:19.311] [R2] read: "Hello World!"
[22:43:19.328] [R4] read: "Hello World!"
[22:43:19.329] [R1] read: "Hello World!"
[22:43:19.330] [R3] read: "Hello World!"
[22:43:19.331] [W8] wrote: "Hello World!"
[22:43:19.335] [R2] read: "Hello World!"
[22:43:19.336] [W6] wrote: "Hello World!"
[22:43:19.337] [R5] read: "Hello World!"
[22:43:19.343] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:19.348] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:19.367] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:19.371] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:19.371] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:19.372] [W3] wrote: "Operating systems manage hardware and software resources."
[22:43:19.372] [R5] read: "Operating systems manage hardware and software resources."
[22:43:19.377] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:19.382] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:19.382] [W7] wrote: "Operating systems manage hardware and software resources."
[22:43:19.389] [R3] read: "Operating systems manage hardware and software resources."
[22:43:19.402] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:19.403] [W4] wrote: "Operating systems manage hardware and software resources."
[22:43:19.412] [R3] read: "Operating systems manage hardware and software resources."
[22:43:19.415] [R2] read: "Operating systems manage hardware and software resources."
[22:43:19.416] [R4] read: "Operating systems manage hardware and software resources."
[22:43:19.418] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:19.418] [W3] wrote: "X"
[22:43:19.420] [R5] read: "X"
[22:43:19.424] [W5] wrote: "Operating systems manage hardware and software resources."
[22:43:19.426] [W7] wrote: "X"
[22:43:19.438] [R1] read: "X"
[22:43:19.442] [W2] wrote: "Operating systems manage hardware and software resources."
[22:43:19.447] [W1] wrote: "Operating systems manage hardware and software resources."
[22:43:19.450] [R3] read: "Operating systems manage hardware and software resources."
[22:43:19.453] [R2] read: "Operating systems manage hardware and software resources."
[22:43:19.453] [R4] read: "Operating systems manage hardware and software resources."
[22:43:19.463] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.465] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.470] [W8] wrote: "Operating systems manage hardware and software resources."
[22:43:19.474] [W4] wrote: "X"
[22:43:19.474] [R5] read: "X"
[22:43:19.482] [W2] wrote: "X"
[22:43:19.486] [W6] wrote: "Operating systems manage hardware and software resources."
[22:43:19.491] [R1] read: "Operating systems manage hardware and software resources."
[22:43:19.497] [R3] read: "Operating systems manage hardware and software resources."
[22:43:19.498] [W1] wrote: "X"
[22:43:19.502] [R4] read: "X"
[22:43:19.503] [R2] read: "X"
[22:43:19.503] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.511] [W5] wrote: "X"
[22:43:19.515] [W7] wrote: "Readers and writers must coordinate access to shared data."
[22:43:19.518] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.522] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.525] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.531] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.533] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.535] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.545] [W6] wrote: "X"
[22:43:19.546] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.548] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.552] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.554] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.560] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.569] [W3] wrote: "Readers and writers must coordinate access to shared data."
[22:43:19.570] [W8] wrote: "X"
[22:43:19.576] [R4] read: "X"
[22:43:19.576] [W7] wrote: "Race!"
[22:43:19.582] [W2] wrote: "Readers and writers must coordinate access to shared data."
[22:43:19.584] [R3] read: "Readers and writers must coordinate access to shared data."
[22:43:19.588] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:19.592] [W5] wrote: "Readers and writers must coordinate access to shared data."
[22:43:19.594] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:19.599] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:19.600] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:43:19.606] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:19.610] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:43:19.615] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:19.615] [R3] read: "Readers and writers must coordinate access to shared data."
[22:43:19.620] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:19.621] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.622] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.631] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.634] [W3] wrote: "Race!"
[22:43:19.646] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.649] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.654] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.658] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:19.661] [W6] wrote: "Readers and writers must coordinate access to shared data."
