=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[22:43:01.751] [R1] started
[22:43:02.229] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:02.230] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:02.238] [W1] wrote: "Race!"
[22:43:02.246] [R2] read: "Race!"
[22:43:02.252] [W6] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:02.252] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:02.254] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:02.254] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:02.257] [R4] read: "Mutual exclusion ensures only one writer at a time."
[22:43:02.264] [W8] wrote: "Race!"
[22:43:02.264] [R5] read: "Race!"
[22:43:02.268] [R1] read: "Race!"
[22:43:02.272] [W2] wrote: "Pthread library provides powerful threading primitives."
[22:43:02.274] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:02.275] [W4] wrote: "Pthread library provides powerful threading primitives."
[22:43:02.281] [R4] read: "Pthread library provides powerful threading primitives."
[22:43:02.286] [W6] wrote: "Pthread library provides powerful threading primitives."
[22:43:02.289] [R1] read: "Pthread library provides powerful threading primitives."
[22:43:02.305] [R2] read: "Pthread library provides powerful threading primitives."
[22:43:02.311] [R5] read: "Pthread library provides powerful threading primitives."
[22:43:02.312] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:02.317] [W5] wrote: "Pthread library provides powerful threading primitives."
[22:43:02.324] [W3] wrote: "Pthread library provides powerful threading primitives."
[22:43:02.325] [R4] read: "Pthread library provides powerful threading primitives."
[22:43:02.330] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:02.335] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:02.341] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:02.343] [W6] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.344] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.345] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.345] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.352] [W7] wrote: "Pthread library provides powerful threading primitives."
[22:43:02.359] [W2] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.362] [W4] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.368] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.375] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.379] [R4] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.390] [W1] wrote: "Pthread library provides powerful threading primitives."
[22:43:02.396] [R5] read: "Pthread library provides powerful threading primitives."
[22:43:02.398] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:02.401] [R1] read: "Pthread library provides powerful threading primitives."
[22:43:02.402] [W6] wrote: "AB"
[22:43:02.407] [W3] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.416] [W5] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.417] [W4] wrote: "AB"
[22:43:02.421] [R4] read: "AB"
[22:43:02.422] [R2] read: "AB"
[22:43:02.426] [R5] read: "AB"
[22:43:02.433] [W8] wrote: "Pthread library provides powerful threading primitives."
[22:43:02.446] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:02.448] [W3] wrote: "AB"
[22:43:02.448] [W1] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.451] [W2] wrote: "AB"
[22:43:02.452] [W7] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.457] [W6] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.458] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.461] [W5] wrote: "AB"
[22:43:02.465] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.466] [R2] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.470] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.470] [R5] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:02.471] [W4] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.478] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.488] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.496] [W3] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.502] [W1] wrote: "AB"
[22:43:02.503] [R4] read: "AB"
[22:43:02.504] [W2] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.512] [W8] wrote: "AB"
[22:43:02.514] [R1] read: "AB"
[22:43:02.514] [W7] wrote: "AB"
[22:43:02.523] [R3] read: "AB"
[22:43:02.527] [R2] read: "AB"
[22:43:02.529] [R5] read: "AB"
[22:43:02.529] [R4] read: "AB"
[22:43:02.538] [W4] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.540] [W6] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.545] [W2] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.550] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.551] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.551] [W5] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.557] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.560] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.566] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.571] [W4] wrote: "Test"
[22:43:02.579] [R3] read: "Test"
[22:43:02.583] [R1] read: "Test"
[22:43:02.585] [W2] wrote: "Test"
[22:43:02.586] [R4] read: "Test"
[22:43:02.588] [W3] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.590] [W8] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.593] [W1] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.595] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.595] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.606] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.606] [W7] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.614] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.617] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:02.632] [W6] wrote: "Test"
[22:43:02.638] [R5] read: "Test"
[22:43:02.645] [R3] read: "Test"
[22:43:02.646] [R2] read: "Test"
[22:43:02.647] [W5] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.650] [W7] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.657] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.657] [W4] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.660] [W2] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.667] [W1] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.668] [W8] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.674] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.677] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.681] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.682] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:02.684] [W3] wrote: "Test"
[22:43:02.689] [W6] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.689] [W5] wrote: "Test"
[22:43:02.693] [R2] read: "Test"
[22:43:02.701] [W2] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.705] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.728] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.729] [W7] wrote: "Test"
[22:43:02.729] [R4] read: "Test"
[22:43:02.732] [W8] wrote: "Test"
[22:43:02.734] [R5] read: "Test"
[22:43:02.736] [R2] read: "Test"
[22:43:02.739] [W1] wrote: "Test"
[22:43:02.752] [W4] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.754] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.754] [R5] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.759] [W3] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.759] [W6] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.763] [R2] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.763] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.778] [W7] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.782] [R3] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.786] [W5] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.788] [R2] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.791] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.794] [W2] wrote: "!"
[22:43:02.801] [W3] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.801] [W6] wrote: "!"
[22:43:02.807] [W1] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.808] [W4] wrote: "!"
[22:43:02.809] [R5] read: "!"
[22:43:02.809] [W8] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.810] [R4] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.828] [R1] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.838] [R3] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.841] [R2] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.844] [R5] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:02.855] [W5] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.856] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.861] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.863] [W7] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.865] [W2] wrote: "Context switching between threads has performance overhead costs."
[22:43:02.866] [W6] wrote: "Context switching between threads has performance overhead costs."
[22:43:02.867] [R5] read: "Context switching between threads has performance overhead costs."
[22:43:02.871] [W4] wrote: "Context switching between threads has performance overhead costs."
[22:43:02.874] [W3] wrote: "!"
[22:43:02.880] [W8] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.887] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.892] [W5] wrote: "!"
[22:43:02.895] [R2] read: "!"
[22:43:02.898] [R1] read: "!"
[22:43:02.898] [R3] read: "!"
[22:43:02.904] [W3] wrote: "Context switching between threads has performance overhead costs."
[22:43:02.905] [W1] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:02.907] [W7] wrote: "!"
[22:43:02.912] [W4] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:02.920] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:02.922] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:02.923] [W8] wrote: "!"
[22:43:02.925] [R5] read: "!"
[22:43:02.934] [W5] wrote: "Context switching between threads has performance overhead costs."
[22:43:02.942] [W7] wrote: "Context switching between threads has performance overhead costs."
[22:43:02.946] [W1] wrote: "!"
[22:43:02.952] [W2] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:02.953] [R2] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:02.956] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:02.956] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:02.961] [W6] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:02.965] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:02.969] [W4] wrote: "A"
[22:43:02.970] [R5] read: "A"
[22:43:02.975] [W8] wrote: "Context switching between threads has performance overhead costs."
[22:43:02.976] [R1] read: "Context switching between threads has performance overhead costs."
[22:43:02.980] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:02.983] [W3] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:02.985] [W2] wrote: "A"
[22:43:02.987] [W1] wrote: "Context switching between threads has performance overhead costs."
[22:43:02.996] [W6] wrote: "A"
[22:43:03.001] [W4] wrote: "Hello World!"
[22:43:03.004] [R3] read: "Hello World!"
[22:43:03.005] [W5] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:03.011] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:03.016] [R2] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:03.020] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:03.021] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:03.026] [W1] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:03.032] [W8] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:03.039] [W7] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:03.039] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:03.048] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:03.048] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:03.052] [W3] wrote: "A"
[22:43:03.055] [R5] read: "A"
[22:43:03.059] [W5] wrote: "A"
[22:43:03.060] [R2] read: "A"
[22:43:03.072] [R4] read: "A"
[22:43:03.075] [R3] read: "A"
[22:43:03.075] [R5] read: "A"
[22:43:03.077] [W7] wrote: "A"
[22:43:03.078] [W6] wrote: "Hello World!"
[22:43:03.082] [W8] wrote: "A"
[22:43:03.083] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:03.084] [W2] wrote: "Hello World!"
[22:43:03.098] [R1] read: "Hello World!"
[22:43:03.099] [R4] read: "Hello World!"
[22:43:03.107] [R3] read: "Hello World!"
[22:43:03.111] [W1] wrote: "A"
[22:43:03.118] [R2] read: "A"
[22:43:03.118] [W5] wrote: "Hello World!"
[22:43:03.120] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:03.120] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:03.121] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:03.126] [W4] wrote: "Operating systems manage hardware and software resources."
[22:43:03.138] [W8] wrote: "Hello World!"
[22:43:03.142] [W1] wrote: "Hello World!"
[22:43:03.143] [R5] read: "Hello World!"
[22:43:03.144] [R2] read: "Hello World!"
[22:43:03.145] [W3] wrote: "Hello World!"
[22:43:03.146] [R4] read: "Hello World!"
[22:43:03.157] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:03.164] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:03.173] [R1] read: "The quick brown fox jumps over the lazy dog."
[22:43:03.177] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:03.177] [W7] wrote: "Hello World!"
[22:43:03.193] [R3] read: "Hello World!"
[22:43:03.193] [W4] wrote: "X"
[22:43:03.197] [R2] read: "X"
[22:43:03.199] [R1] read: "X"
[22:43:03.203] [W2] wrote: "Operating systems manage hardware and software resources."
[22:43:03.203] [R4] read: "Operating systems manage hardware and software resources."
[22:43:03.206] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:03.207] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:03.229] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:03.229] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:03.230] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:03.233] [R5] read: "The quick brown fox jumps over the lazy dog."
[22:43:03.235] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:03.237] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.246] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.253] [W6] wrote: "Operating systems manage hardware and software resources."
[22:43:03.259] [W1] wrote: "Operating systems manage hardware and software resources."
[22:43:03.261] [W5] wrote: "Operating systems manage hardware and software resources."
[22:43:03.262] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:03.263] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:03.270] [W2] wrote: "X"
[22:43:03.271] [R1] read: "X"
[22:43:03.281] [W8] wrote: "Operating systems manage hardware and software resources."
[22:43:03.287] [R3] read: "Operating systems manage hardware and software resources."
[22:43:03.290] [R2] read: "Operating systems manage hardware and software resources."
[22:43:03.291] [R5] read: "Operating systems manage hardware and software resources."
[22:43:03.292] [R4] read: "Operating systems manage hardware and software resources."
[22:43:03.294] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:43:03.296] [W6] wrote: "X"
[22:43:03.298] [W5] wrote: "X"
[22:43:03.310] [R2] read: "X"
[22:43:03.311] [W8] wrote: "X"
[22:43:03.313] [R3] read: "X"
[22:43:03.326] [W3] wrote: "Operating systems manage hardware and software resources."
[22:43:03.329] [R1] read: "Operating systems manage hardware and software resources."
[22:43:03.329] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.330] [W1] wrote: "X"
[22:43:03.335] [R5] read: "X"
[22:43:03.348] [W7] wrote: "Operating systems manage hardware and software resources."
[22:43:03.348] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.352] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.352] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.363] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.372] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.375] [W4] wrote: "Race!"
[22:43:03.375] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.383] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.384] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.389] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.399] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.400] [W3] wrote: "X"
[22:43:03.402] [R2] read: "X"
[22:43:03.408] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:43:03.413] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.414] [W6] wrote: "Readers and writers must coordinate access to shared data."
[22:43:03.417] [W2] wrote: "Readers and writers must coordinate access to shared data."
[22:43:03.418] [W7] wrote: "X"
[22:43:03.418] [R3] read: "X"
[22:43:03.430] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.433] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.439] [W5] wrote: "Readers and writers must coordinate access to shared data."
[22:43:03.439] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:03.444] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:43:03.444] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:03.445] [R2] read: "Readers and writers must coordinate access to shared data."
[22:43:03.451] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:03.454] [W8] wrote: "Race!"
[22:43:03.456] [W2] wrote: "Race!"
[22:43:03.461] [R4] read: "Race!"
[22:43:03.468] [W6] wrote: "Race!"
[22:43:03.468] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:03.468] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:03.470] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:03.474] [R2] read: "Mutual exclusion ensures only one writer at a time."
