=== Shared String - Reader-Writer Problem ===
Mode: fair
Readers: 5, Writers: 8, Duration: 8 seconds

[22:43:09.830] [R1] started
[22:43:10.149] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.152] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.157] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.159] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.160] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.162] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.182] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.183] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.184] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:43:10.195] [W7] wrote: "Readers and writers must coordinate access to shared data."
[22:43:10.196] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:10.196] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:43:10.205] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:10.208] [R3] read: "Readers and writers must coordinate access to shared data."
[22:43:10.209] [W5] wrote: "Readers and writers must coordinate access to shared data."
[22:43:10.212] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.231] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.231] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.234] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.235] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.238] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:10.240] [W4] wrote: "Race!"
[22:43:10.242] [W3] wrote: "Readers and writers must coordinate access to shared data."
[22:43:10.246] [W2] wrote: "Readers and writers must coordinate access to shared data."
[22:43:10.254] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:10.256] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:10.262] [W5] wrote: "Race!"
[22:43:10.266] [W1] wrote: "Readers and writers must coordinate access to shared data."
[22:43:10.267] [W7] wrote: "Race!"
[22:43:10.274] [W8] wrote: "Race!"
[22:43:10.274] [R3] read: "Race!"
[22:43:10.276] [R1] read: "Race!"
[22:43:10.282] [R4] read: "Race!"
[22:43:10.291] [R2] read: "Race!"
[22:43:10.297] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:10.298] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:10.308] [W3] wrote: "Race!"
[22:43:10.309] [R5] read: "Race!"
[22:43:10.309] [W6] wrote: "Readers and writers must coordinate access to shared data."
[22:43:10.312] [R4] read: "Readers and writers must coordinate access to shared data."
[22:43:10.320] [W2] wrote: "Race!"
[22:43:10.325] [R1] read: "Race!"
[22:43:10.327] [W5] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:10.332] [R3] read: "Mutual exclusion ensures only one writer at a time."
[22:43:10.333] [R5] read: "Mutual exclusion ensures only one writer at a time."
[22:43:10.334] [W1] wrote: "Race!"
[22:43:10.337] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:10.345] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:10.356] [W6] wrote: "Race!"
[22:43:10.359] [W4] wrote: "Pthread library provides powerful threading primitives."
[22:43:10.360] [R4] read: "Pthread library provides powerful threading primitives."
[22:43:10.361] [W7] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:10.365] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:10.368] [W2] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:10.370] [W5] wrote: "Pthread library provides powerful threading primitives."
[22:43:10.371] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:10.383] [R5] read: "Pthread library provides powerful threading primitives."
[22:43:10.387] [W6] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:10.387] [R1] read: "Mutual exclusion ensures only one writer at a time."
[22:43:10.390] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:10.396] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:10.399] [W1] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:10.404] [W8] wrote: "Pthread library provides powerful threading primitives."
[22:43:10.417] [R4] read: "Pthread library provides powerful threading primitives."
[22:43:10.418] [W5] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:10.420] [R1] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:10.425] [W3] wrote: "Pthread library provides powerful threading primitives."
[22:43:10.429] [R5] read: "Pthread library provides powerful threading primitives."
[22:43:10.430] [W6] wrote: "Pthread library provides powerful threading primitives."
[22:43:10.430] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:10.431] [W4] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:10.436] [W7] wrote: "Pthread library provides powerful threading primitives."
[22:43:10.438] [R2] read: "Pthread library provides powerful threading primitives."
[22:43:10.441] [W8] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:10.452] [W5] wrote: "AB"
[22:43:10.454] [R5] read: "AB"
[22:43:10.455] [W2] wrote: "Pthread library provides powerful threading primitives."
[22:43:10.455] [R1] read: "Pthread library provides powerful threading primitives."
[22:43:10.464] [R3] read: "Pthread library provides powerful threading primitives."
[22:43:10.465] [W6] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:10.470] [W1] wrote: "Pthread library provides powerful threading primitives."
[22:43:10.471] [R4] read: "Pthread library provides powerful threading primitives."
[22:43:10.472] [W3] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:10.483] [W4] wrote: "AB"
[22:43:10.492] [R2] read: "AB"
[22:43:10.499] [R5] read: "AB"
[22:43:10.501] [R3] read: "AB"
[22:43:10.505] [R4] read: "AB"
[22:43:10.507] [W8] wrote: "AB"
[22:43:10.510] [R1] read: "AB"
[22:43:10.516] [W2] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:10.519] [W7] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:10.521] [R3] read: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:10.527] [W6] wrote: "AB"
[22:43:10.532] [R5] read: "AB"
[22:43:10.534] [W1] wrote: "Concurrency bugs are difficult to reproduce and debug consistently."
[22:43:10.537] [W4] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.539] [W3] wrote: "AB"
[22:43:10.543] [R1] read: "AB"
[22:43:10.547] [W5] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.552] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.552] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.566] [W8] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.571] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.572] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.575] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.577] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.580] [R2] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.582] [W1] wrote: "AB"
[22:43:10.584] [W7] wrote: "AB"
[22:43:10.591] [W6] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.595] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.600] [W4] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.602] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.612] [W2] wrote: "AB"
[22:43:10.614] [W3] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.615] [W5] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.616] [W8] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.628] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.630] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.635] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.637] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.646] [W7] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.647] [R3] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.649] [W1] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.659] [R5] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.662] [R4] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.665] [R1] read: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.666] [W2] wrote: "Memory barriers ensure proper ordering of operations across cores."
[22:43:10.667] [W6] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.677] [W3] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.684] [R2] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.684] [R4] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.685] [W4] wrote: "Test"
[22:43:10.689] [W7] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.691] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.701] [W8] wrote: "Test"
[22:43:10.703] [R1] read: "Test"
[22:43:10.704] [W5] wrote: "Test"
[22:43:10.706] [R3] read: "Test"
[22:43:10.711] [W2] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.711] [W3] wrote: "Test"
[22:43:10.720] [R2] read: "Test"
[22:43:10.722] [R4] read: "Test"
[22:43:10.722] [W1] wrote: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.736] [R1] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.737] [R3] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.740] [R5] read: "Deadlock occurs when threads wait indefinitely for each other."
[22:43:10.740] [W4] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:10.744] [R2] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:10.748] [R4] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:10.751] [W5] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:10.752] [W2] wrote: "Test"
[22:43:10.762] [W6] wrote: "Test"
[22:43:10.762] [W8] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:10.764] [W3] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:10.765] [R2] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:10.778] [W7] wrote: "Test"
[22:43:10.788] [R3] read: "Test"
[22:43:10.789] [R5] read: "Test"
[22:43:10.791] [R4] read: "Test"
[22:43:10.795] [R1] read: "Test"
[22:43:10.805] [R2] read: "Test"
[22:43:10.818] [W3] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:10.819] [W1] wrote: "Test"
[22:43:10.822] [R1] read: "Test"
[22:43:10.829] [R4] read: "Test"
[22:43:10.829] [R2] read: "Test"
[22:43:10.830] [W8] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:10.833] [W2] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:10.836] [W7] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:10.837] [R5] read: "Lock-free data structures use atomic operations for synchronization."
[22:43:10.838] [W6] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:10.839] [W4] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:10.843] [R3] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:10.848] [W5] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:10.851] [W3] wrote: "!"
[22:43:10.857] [R2] read: "!"
[22:43:10.868] [R1] read: "!"
[22:43:10.875] [R4] read: "!"
[22:43:10.880] [R5] read: "!"
[22:43:10.894] [R3] read: "!"
[22:43:10.898] [R2] read: "!"
[22:43:10.899] [W1] wrote: "Lock-free data structures use atomic operations for synchronization."
[22:43:10.903] [W8] wrote: "!"
[22:43:10.905] [W6] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:10.906] [W7] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:10.912] [R4] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:10.916] [W2] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:10.917] [R1] read: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:10.922] [W3] wrote: "Context switching between threads has performance overhead costs."
[22:43:10.924] [R5] read: "Context switching between threads has performance overhead costs."
[22:43:10.926] [R3] read: "Context switching between threads has performance overhead costs."
[22:43:10.934] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:10.938] [W4] wrote: "!"
[22:43:10.938] [R2] read: "!"
[22:43:10.942] [W5] wrote: "!"
[22:43:10.943] [R1] read: "!"
[22:43:10.949] [R5] read: "!"
[22:43:10.961] [R3] read: "!"
[22:43:10.961] [R2] read: "!"
[22:43:10.967] [W2] wrote: "!"
[22:43:10.968] [W6] wrote: "!"
[22:43:10.969] [W3] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:10.971] [W7] wrote: "!"
[22:43:10.973] [W4] wrote: "Context switching between threads has performance overhead costs."
[22:43:10.980] [R5] read: "Context switching between threads has performance overhead costs."
[22:43:10.981] [W1] wrote: "Thread pools improve performance by reusing worker threads efficiently."
[22:43:10.983] [W8] wrote: "Context switching between threads has performance overhead costs."
[22:43:10.992] [R1] read: "Context switching between threads has performance overhead costs."
[22:43:10.993] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:11.006] [W4] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.007] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.014] [W8] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.016] [R2] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.019] [W5] wrote: "Context switching between threads has performance overhead costs."
[22:43:11.027] [W2] wrote: "Context switching between threads has performance overhead costs."
[22:43:11.030] [R1] read: "Context switching between threads has performance overhead costs."
[22:43:11.030] [R5] read: "Context switching between threads has performance overhead costs."
[22:43:11.032] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:11.033] [W6] wrote: "Context switching between threads has performance overhead costs."
[22:43:11.036] [W4] wrote: "A"
[22:43:11.037] [R2] read: "A"
[22:43:11.040] [W1] wrote: "!"
[22:43:11.051] [W3] wrote: "A"
[22:43:11.056] [R3] read: "A"
[22:43:11.059] [W7] wrote: "Context switching between threads has performance overhead costs."
[22:43:11.062] [R4] read: "Context switching between threads has performance overhead costs."
[22:43:11.063] [R1] read: "Context switching between threads has performance overhead costs."
[22:43:11.065] [R5] read: "Context switching between threads has performance overhead costs."
[22:43:11.067] [W8] wrote: "A"
[22:43:11.072] [W1] wrote: "Context switching between threads has performance overhead costs."
[22:43:11.072] [R2] read: "Context switching between threads has performance overhead costs."
[22:43:11.075] [W4] wrote: "Hello World!"
[22:43:11.086] [W5] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.091] [R1] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.097] [R3] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.097] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.097] [R2] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.112] [W7] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.112] [R4] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.113] [W2] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.117] [W4] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:11.125] [W6] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.130] [W5] wrote: "A"
[22:43:11.132] [R4] read: "A"
[22:43:11.134] [R1] read: "A"
[22:43:11.134] [W1] wrote: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.139] [R5] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.142] [R2] read: "Critical sections must be kept as short as possible for efficiency."
[22:43:11.144] [W3] wrote: "Hello World!"
[22:43:11.146] [W8] wrote: "Hello World!"
[22:43:11.147] [R3] read: "Hello World!"
[22:43:11.155] [W4] wrote: "Operating systems manage hardware and software resources."
[22:43:11.156] [R1] read: "Operating systems manage hardware and software resources."
[22:43:11.163] [W2] wrote: "A"
[22:43:11.176] [R4] read: "A"
[22:43:11.181] [R2] read: "A"
[22:43:11.187] [W6] wrote: "A"
[22:43:11.190] [W7] wrote: "A"
[22:43:11.190] [R1] read: "A"
[22:43:11.194] [R3] read: "A"
[22:43:11.198] [R5] read: "A"
[22:43:11.199] [W3] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:11.202] [W5] wrote: "Hello World!"
[22:43:11.215] [W2] wrote: "Hello World!"
[22:43:11.216] [W8] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:11.216] [R2] read: "The quick brown fox jumps over the lazy dog."
[22:43:11.217] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:11.223] [W1] wrote: "A"
[22:43:11.227] [R5] read: "A"
[22:43:11.233] [R4] read: "A"
[22:43:11.237] [R1] read: "A"
[22:43:11.238] [W7] wrote: "Hello World!"
[22:43:11.251] [W4] wrote: "X"
[22:43:11.256] [R2] read: "X"
[22:43:11.265] [R3] read: "X"
[22:43:11.268] [R1] read: "X"
[22:43:11.269] [W2] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:11.273] [W3] wrote: "Operating systems manage hardware and software resources."
[22:43:11.275] [W5] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:11.278] [W6] wrote: "Hello World!"
[22:43:11.279] [R5] read: "Hello World!"
[22:43:11.282] [R4] read: "Hello World!"
[22:43:11.283] [W8] wrote: "Operating systems manage hardware and software resources."
[22:43:11.296] [R2] read: "Operating systems manage hardware and software resources."
[22:43:11.304] [W7] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:11.311] [W1] wrote: "Hello World!"
[22:43:11.312] [R1] read: "Hello World!"
[22:43:11.316] [R5] read: "Hello World!"
[22:43:11.321] [W8] wrote: "X"
[22:43:11.322] [W4] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.325] [R3] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.325] [W5] wrote: "Operating systems manage hardware and software resources."
[22:43:11.327] [W2] wrote: "Operating systems manage hardware and software resources."
[22:43:11.333] [R4] read: "Operating systems manage hardware and software resources."
[22:43:11.341] [R1] read: "Operating systems manage hardware and software resources."
[22:43:11.347] [R5] read: "Operating systems manage hardware and software resources."
[22:43:11.349] [R2] read: "Operating systems manage hardware and software resources."
[22:43:11.350] [W1] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:11.361] [R4] read: "The quick brown fox jumps over the lazy dog."
[22:43:11.361] [W6] wrote: "The quick brown fox jumps over the lazy dog."
[22:43:11.361] [R3] read: "The quick brown fox jumps over the lazy dog."
[22:43:11.367] [W3] wrote: "X"
[22:43:11.371] [R1] read: "X"
[22:43:11.376] [W7] wrote: "Operating systems manage hardware and software resources."
[22:43:11.378] [W8] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.379] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.394] [W5] wrote: "X"
[22:43:11.397] [R2] read: "X"
[22:43:11.399] [R4] read: "X"
[22:43:11.408] [R3] read: "X"
[22:43:11.412] [W3] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.412] [W4] wrote: "Readers and writers must coordinate access to shared data."
[22:43:11.421] [W2] wrote: "X"
[22:43:11.429] [R1] read: "X"
[22:43:11.432] [W8] wrote: "Readers and writers must coordinate access to shared data."
[22:43:11.434] [W6] wrote: "Operating systems manage hardware and software resources."
[22:43:11.435] [R5] read: "Operating systems manage hardware and software resources."
[22:43:11.440] [R2] read: "Operating systems manage hardware and software resources."
[22:43:11.447] [W1] wrote: "Operating systems manage hardware and software resources."
[22:43:11.452] [W7] wrote: "X"
[22:43:11.454] [R4] read: "X"
[22:43:11.464] [R3] read: "X"
[22:43:11.466] [R5] read: "X"
[22:43:11.469] [W5] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.473] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.476] [W4] wrote: "Race!"
[22:43:11.476] [R2] read: "Race!"
[22:43:11.488] [R4] read: "Race!"
[22:43:11.488] [R3] read: "Race!"
[22:43:11.495] [W2] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.498] [R5] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.504] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.508] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.508] [W3] wrote: "Readers and writers must coordinate access to shared data."
[22:43:11.510] [W6] wrote: "X"
[22:43:11.513] [W7] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.516] [R2] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.530] [W8] wrote: "Race!"
[22:43:11.530] [R3] read: "Race!"
[22:43:11.534] [R1] read: "Race!"
[22:43:11.539] [R5] read: "Race!"
[22:43:11.547] [W1] wrote: "X"
[22:43:11.550] [R2] read: "X"
[22:43:11.556] [W2] wrote: "Readers and writers must coordinate access to shared data."
[22:43:11.558] [W4] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:11.558] [R4] read: "Mutual exclusion ensures only one writer at a time."
[22:43:11.561] [W5] wrote: "Readers and writers must coordinate access to shared data."
[22:43:11.564] [R1] read: "Readers and writers must coordinate access to shared data."
[22:43:11.565] [R5] read: "Readers and writers must coordinate access to shared data."
[22:43:11.575] [W3] wrote: "Race!"
[22:43:11.576] [R3] read: "Race!"
[22:43:11.593] [R5] read: "Race!"
[22:43:11.593] [W8] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:11.594] [R2] read: "Mutual exclusion ensures only one writer at a time."
[22:43:11.599] [W6] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.601] [R1] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.605] [W7] wrote: "Readers and writers must coordinate access to shared data."
[22:43:11.606] [W1] wrote: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.609] [R4] read: "Synchronization prevents race conditions in concurrent programs."
[22:43:11.617] [W2] wrote: "Race!"
[22:43:11.618] [R3] read: "Race!"
[22:43:11.629] [W5] wrote: "Race!"
[22:43:11.637] [R5] read: "Race!"
[22:43:11.640] [R1] read: "Race!"
[22:43:11.642] [W3] wrote: "Mutual exclusion ensures only one writer at a time."
[22:43:11.643] [W8] wrote: "Pthread library provides powerful threading primitives."
